LIB,VER,Z,SYM,A,M,MF,MT,LIBORIG,VERORIG
JEFF,3.2,29,Cu,66,g,3,62,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,78,JEFF,3.2
JEFF,3.2,28,Ni,63,g,33,17,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,61,JEFF,3.1
JEFF,3.2,29,Cu,66,g,3,63,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,59,JEFF,3.1
JEFF,3.2,25,Mn,55,g,3,79,JEFF,3.2
JEFF,3.2,29,Cu,64,g,6,28,JEFF,3.2
JEFF,3.2,28,Ni,63,g,33,22,JEFF,3.2
JEFF,3.2,17,Cl,35,g,3,801,JEFF,3.1
JEFF,3.2,25,Mn,55,g,3,82,JEFF,3.2
JEFF,3.2,28,Ni,63,g,33,25,JEFF,3.2
JEFF,3.2,28,Ni,63,g,33,24,JEFF,3.2
JEFF,3.2,29,Cu,66,g,3,64,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,62,JEFF,3.1
JEFF,3.2,29,Cu,64,g,6,32,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,83,JEFF,3.2
JEFF,3.2,17,Cl,35,g,3,802,JEFF,3.1
JEFF,3.2,25,Mn,55,g,3,84,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,63,JEFF,3.1
JEFF,3.2,29,Cu,66,g,3,65,JEFF,3.2
JEFF,3.2,29,Cu,64,g,6,33,JEFF,3.2
JEFF,3.2,29,Cu,64,g,6,34,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,85,JEFF,3.2
JEFF,3.2,33,As,75,g,6,115,JEFF,3.2
JEFF,3.2,28,Ni,63,g,33,33,JEFF,3.2
JEFF,3.2,28,Ni,63,g,33,28,JEFF,3.2
JEFF,3.2,29,Cu,66,g,3,66,JEFF,3.2
JEFF,3.2,17,Cl,35,g,3,803,JEFF,3.1
JEFF,3.2,26,Fe,56,g,3,64,JEFF,3.1
JEFF,3.2,29,Cu,64,g,6,37,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,86,JEFF,3.2
JEFF,3.2,28,Ni,63,g,33,32,JEFF,3.2
JEFF,3.2,29,Cu,66,g,3,67,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,65,JEFF,3.1
JEFF,3.2,29,Cu,66,g,3,68,JEFF,3.2
JEFF,3.2,17,Cl,35,g,3,804,JEFF,3.1
JEFF,3.2,17,Cl,35,g,3,805,JEFF,3.1
JEFF,3.2,25,Mn,55,g,3,87,JEFF,3.2
JEFF,3.2,28,Ni,63,g,33,34,JEFF,3.2
JEFF,3.2,17,Cl,35,g,3,806,JEFF,3.1
JEFF,3.2,29,Cu,66,g,3,71,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,88,JEFF,3.2
JEFF,3.2,29,Cu,64,g,6,42,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,66,JEFF,3.1
JEFF,3.2,28,Ni,63,g,33,42,JEFF,3.2
JEFF,3.2,29,Cu,64,g,6,41,JEFF,3.2
JEFF,3.2,29,Cu,66,g,3,69,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,89,JEFF,3.2
JEFF,3.2,29,Cu,64,g,6,44,JEFF,3.2
JEFF,3.2,29,Cu,66,g,3,72,JEFF,3.2
JEFF,3.2,28,Ni,63,g,33,41,JEFF,3.2
JEFF,3.2,17,Cl,35,g,3,807,JEFF,3.1
JEFF,3.2,28,Ni,63,g,33,45,JEFF,3.2
JEFF,3.2,29,Cu,66,g,3,73,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,67,JEFF,3.1
JEFF,3.2,26,Fe,56,g,3,68,JEFF,3.1
JEFF,3.2,29,Cu,64,g,6,45,JEFF,3.2
JEFF,3.2,17,Cl,35,g,3,808,JEFF,3.1
JEFF,3.2,29,Cu,66,g,3,74,JEFF,3.2
JEFF,3.2,17,Cl,35,g,3,809,JEFF,3.1
JEFF,3.2,26,Fe,56,g,3,69,JEFF,3.1
JEFF,3.2,26,Fe,56,g,3,71,JEFF,3.1
JEFF,3.2,29,Cu,66,g,3,75,JEFF,3.2
JEFF,3.2,17,Cl,35,g,3,811,JEFF,3.1
JEFF,3.2,28,Ni,63,g,33,51,JEFF,3.2
JEFF,3.2,30,Zn,66,g,1,451,JEFF,3.2
JEFF,3.2,30,Zn,66,g,2,151,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,1,JEFF,3.2
JEFF,3.2,28,Ni,63,g,33,52,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,601,JEFF,3.2
JEFF,3.2,29,Cu,64,g,6,91,JEFF,3.2
JEFF,3.2,29,Cu,66,g,3,76,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,2,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,72,JEFF,3.1
JEFF,3.2,17,Cl,35,g,3,812,JEFF,3.1
JEFF,3.2,28,Ni,63,g,33,53,JEFF,3.2
JEFF,3.2,29,Cu,64,g,6,102,JEFF,3.2
JEFF,3.2,29,Cu,66,g,3,77,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,3,JEFF,3.2
JEFF,3.2,17,Cl,35,g,3,813,JEFF,3.1
JEFF,3.2,29,Cu,64,g,6,103,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,602,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,73,JEFF,3.1
JEFF,3.2,28,Ni,63,g,33,54,JEFF,3.2
JEFF,3.2,17,Cl,35,g,3,814,JEFF,3.1
JEFF,3.2,29,Cu,66,g,3,78,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,603,JEFF,3.2
JEFF,3.2,29,Cu,64,g,6,104,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,74,JEFF,3.1
JEFF,3.2,28,Ni,63,g,33,91,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,4,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,5,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,91,JEFF,3.2
JEFF,3.2,17,Cl,35,g,3,815,ENDFB,7.0
JEFF,3.2,30,Zn,66,g,3,11,JEFF,3.2
JEFF,3.2,29,Cu,66,g,3,79,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,75,JEFF,3.1
JEFF,3.2,25,Mn,55,g,3,604,JEFF,3.2
JEFF,3.2,29,Cu,64,g,6,105,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,76,JEFF,3.1
JEFF,3.2,25,Mn,55,g,3,102,JEFF,3.2
JEFF,3.2,28,Ni,63,g,33,102,JEFF,3.2
JEFF,3.2,30,Zn,64,g,1,451,JEFF,3.2
JEFF,3.2,29,Cu,64,g,6,106,JEFF,3.2
JEFF,3.2,17,Cl,35,g,3,816,JEFF,3.1
JEFF,3.2,26,Fe,56,g,3,77,JEFF,3.1
JEFF,3.2,25,Mn,55,g,3,605,JEFF,3.2
JEFF,3.2,28,Ni,63,g,33,103,JEFF,3.2
JEFF,3.2,29,Cu,66,g,3,91,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,1,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,78,JEFF,3.1
JEFF,3.2,28,Ni,63,g,33,104,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,606,JEFF,3.2
JEFF,3.2,30,Zn,64,g,2,151,JEFF,3.2
JEFF,3.2,17,Cl,35,g,3,817,JEFF,3.1
JEFF,3.2,29,Cu,64,g,6,107,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,2,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,16,JEFF,3.2
JEFF,3.2,29,Cu,66,g,3,102,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,3,JEFF,3.2
JEFF,3.2,17,Cl,35,g,3,818,JEFF,3.1
JEFF,3.2,25,Mn,55,g,3,607,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,79,JEFF,3.1
JEFF,3.2,30,Zn,66,g,3,17,JEFF,3.2
JEFF,3.2,17,Cl,35,g,3,819,JEFF,3.1
JEFF,3.2,29,Cu,66,g,3,103,JEFF,3.2
JEFF,3.2,28,Ni,63,g,33,105,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,81,JEFF,3.1
JEFF,3.2,29,Cu,64,g,6,108,JEFF,3.2
JEFF,3.2,17,Cl,35,g,3,849,ENDFB,7.0
JEFF,3.2,25,Mn,55,g,3,608,JEFF,3.2
JEFF,3.2,29,Cu,66,g,3,104,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,82,JEFF,3.1
JEFF,3.2,28,Ni,63,g,33,106,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,609,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,24,JEFF,3.2
JEFF,3.2,29,Cu,64,g,6,111,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,22,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,4,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,5,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,25,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,11,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,611,JEFF,3.2
JEFF,3.2,29,Cu,66,g,3,105,JEFF,3.2
JEFF,3.2,28,Ni,63,g,33,107,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,16,ENDFB,7.0
JEFF,3.2,29,Cu,64,g,6,112,JEFF,3.2
JEFF,3.2,29,Cu,64,g,6,115,JEFF,3.2
JEFF,3.2,17,Cl,35,g,4,2,JEFF,3.1
JEFF,3.2,25,Mn,55,g,3,612,JEFF,3.2
JEFF,3.2,28,Ni,63,g,33,112,JEFF,3.2
JEFF,3.2,28,Ni,63,g,33,115,JEFF,3.2
JEFF,3.2,29,Cu,66,g,3,106,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,29,JEFF,3.2
JEFF,3.2,29,Cu,64,g,6,116,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,613,JEFF,3.2
JEFF,3.2,28,Ni,63,g,33,116,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,17,JEFF,3.2
JEFF,3.2,29,Cu,66,g,3,108,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,22,ENDFB,7.0
JEFF,3.2,30,Zn,66,g,3,28,JEFF,3.2
JEFF,3.2,29,Cu,66,g,3,107,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,91,JEFF,3.1
JEFF,3.2,26,Fe,56,g,3,102,JEFF,3.1
JEFF,3.2,28,Ni,63,g,33,117,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,614,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,28,ENDFB,7.0
JEFF,3.2,30,Zn,64,g,3,16,JEFF,3.2
JEFF,3.2,29,Cu,64,g,6,117,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,615,JEFF,3.2
JEFF,3.2,29,Cu,64,g,8,5,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,104,JEFF,3.1
JEFF,3.2,30,Zn,66,g,3,32,JEFF,3.2
JEFF,3.2,29,Cu,66,g,3,111,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,33,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,32,ENDFB,7.0
JEFF,3.2,29,Cu,66,g,3,112,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,103,JEFF,3.1
JEFF,3.2,30,Zn,64,g,3,25,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,616,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,34,JEFF,3.2
JEFF,3.2,28,Ni,63,g,34,2,JEFF,3.2
JEFF,3.2,29,Cu,66,g,3,115,JEFF,3.2
JEFF,3.2,28,Ni,63,g,40,11,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,41,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,24,JEFF,3.2
JEFF,3.2,29,Cu,64,g,8,22,TENDL,2011
JEFF,3.2,17,Cl,35,g,6,51,ENDFB,7.0
JEFF,3.2,30,Zn,64,g,3,22,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,105,JEFF,3.1
JEFF,3.2,25,Mn,55,g,3,617,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,52,ENDFB,7.0
JEFF,3.2,29,Cu,64,g,8,25,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,42,JEFF,3.2
JEFF,3.2,28,Ni,63,g,40,28,JEFF,3.2
JEFF,3.2,29,Cu,66,g,3,116,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,106,JEFF,3.1
JEFF,3.2,25,Mn,55,g,3,618,JEFF,3.2
JEFF,3.2,29,Cu,64,g,8,44,JEFF,3.2
JEFF,3.2,28,Ni,63,g,40,33,JEFF,3.2
JEFF,3.2,29,Cu,66,g,3,117,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,53,ENDFB,7.0
JEFF,3.2,26,Fe,56,g,3,601,JEFF,3.1
JEFF,3.2,25,Mn,55,g,3,619,JEFF,3.2
JEFF,3.2,29,Cu,64,g,8,106,TENDL,2011
JEFF,3.2,30,Zn,64,g,3,29,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,44,JEFF,3.2
JEFF,3.2,28,Ni,63,g,40,42,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,54,ENDFB,7.0
JEFF,3.2,30,Zn,66,g,3,45,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,107,JEFF,3.1
JEFF,3.2,30,Zn,64,g,3,33,JEFF,3.2
JEFF,3.2,29,Cu,64,g,8,115,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,602,JEFF,3.1
JEFF,3.2,25,Mn,55,g,3,621,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,28,JEFF,3.2
JEFF,3.2,28,Ni,63,g,40,45,JEFF,3.2
JEFF,3.2,29,Cu,66,g,4,2,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,55,ENDFB,7.0
JEFF,3.2,30,Zn,64,g,3,32,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,603,JEFF,3.1
JEFF,3.2,29,Cu,66,g,4,51,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,622,JEFF,3.2
JEFF,3.2,28,Ni,63,g,40,104,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,34,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,56,ENDFB,7.0
JEFF,3.2,30,Zn,66,g,3,51,JEFF,3.2
JEFF,3.2,29,Cu,64,g,10,22,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,604,JEFF,3.1
JEFF,3.2,25,Mn,55,g,3,623,JEFF,3.2
JEFF,3.2,29,Cu,64,g,10,25,JEFF,3.2
JEFF,3.2,29,Cu,66,g,4,52,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,41,JEFF,3.2
JEFF,3.2,28,Ni,63,g,40,117,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,52,JEFF,3.2
JEFF,3.2,30,Zn,67,g,1,451,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,57,ENDFB,7.0
JEFF,3.2,26,Fe,56,g,3,605,JEFF,3.1
JEFF,3.2,30,Zn,64,g,3,42,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,624,JEFF,3.2
JEFF,3.2,29,Cu,66,g,4,53,JEFF,3.2
JEFF,3.2,29,Cu,64,g,10,44,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,53,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,58,ENDFB,7.0
JEFF,3.2,30,Zn,67,g,3,1,JEFF,3.2
JEFF,3.2,30,Zn,67,g,2,151,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,606,JEFF,3.1
JEFF,3.2,29,Cu,66,g,4,54,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,625,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,59,ENDFB,7.0
JEFF,3.2,26,Fe,56,g,3,607,JEFF,3.1
JEFF,3.2,25,Mn,55,g,3,626,JEFF,3.2
JEFF,3.2,29,Cu,64,g,12,51,TENDL,2009
JEFF,3.2,30,Zn,67,g,3,2,JEFF,3.2
JEFF,3.2,29,Cu,64,g,10,106,JEFF,3.2
JEFF,3.2,30,Zn,67,g,3,3,JEFF,3.2
JEFF,3.2,29,Cu,66,g,4,55,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,44,JEFF,3.2
JEFF,3.2,29,Cu,64,g,10,115,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,54,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,61,ENDFB,7.0
JEFF,3.2,30,Zn,64,g,3,45,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,55,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,627,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,608,JEFF,3.1
JEFF,3.2,29,Cu,66,g,4,56,JEFF,3.2
JEFF,3.2,29,Cu,64,g,12,52,TENDL,2009
JEFF,3.2,30,Zn,66,g,3,56,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,62,ENDFB,7.0
JEFF,3.2,26,Fe,56,g,3,609,JEFF,3.1
JEFF,3.2,30,Zn,67,g,3,4,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,51,JEFF,3.2
JEFF,3.2,30,Zn,67,g,3,5,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,628,JEFF,3.2
JEFF,3.2,30,Zn,67,g,3,11,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,611,JEFF,3.1
JEFF,3.2,29,Cu,64,g,12,53,TENDL,2009
JEFF,3.2,17,Cl,35,g,6,63,ENDFB,7.0
JEFF,3.2,30,Zn,66,g,3,57,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,629,JEFF,3.2
JEFF,3.2,29,Cu,66,g,4,57,JEFF,3.2
JEFF,3.2,29,Cu,64,g,12,54,TENDL,2009
JEFF,3.2,26,Fe,56,g,3,612,JEFF,3.1
JEFF,3.2,30,Zn,64,g,3,52,JEFF,3.2
JEFF,3.2,29,Cu,66,g,4,58,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,64,ENDFB,7.0
JEFF,3.2,30,Zn,64,g,3,53,JEFF,3.2
JEFF,3.2,29,Cu,64,g,12,55,TENDL,2009
JEFF,3.2,30,Zn,66,g,3,58,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,631,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,613,JEFF,3.1
JEFF,3.2,29,Cu,66,g,4,59,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,65,ENDFB,7.0
JEFF,3.2,25,Mn,55,g,3,632,JEFF,3.2
JEFF,3.2,29,Cu,64,g,12,56,TENDL,2009
JEFF,3.2,30,Zn,67,g,3,16,JEFF,3.2
JEFF,3.2,29,Cu,66,g,4,61,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,54,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,59,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,66,ENDFB,7.0
JEFF,3.2,30,Zn,66,g,3,61,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,55,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,649,JEFF,3.1.1
JEFF,3.2,29,Cu,66,g,4,62,JEFF,3.2
JEFF,3.2,29,Cu,64,g,12,57,TENDL,2009
JEFF,3.2,17,Cl,35,g,6,67,ENDFB,7.0
JEFF,3.2,30,Zn,64,g,3,56,JEFF,3.2
JEFF,3.2,30,Zn,67,g,3,17,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,801,JEFF,3.1
JEFF,3.2,30,Zn,66,g,3,62,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,649,JEFF,3.2
JEFF,3.2,30,Zn,67,g,3,25,JEFF,3.2
JEFF,3.2,30,Zn,67,g,3,22,JEFF,3.2
JEFF,3.2,29,Cu,66,g,4,63,JEFF,3.2
JEFF,3.2,29,Cu,64,g,12,58,TENDL,2009
JEFF,3.2,30,Zn,66,g,3,63,JEFF,3.2
JEFF,3.2,30,Zn,67,g,3,24,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,57,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,801,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,802,JEFF,3.1
JEFF,3.2,17,Cl,35,g,6,68,ENDFB,7.0
JEFF,3.2,29,Cu,64,g,12,59,TENDL,2009
JEFF,3.2,29,Cu,66,g,4,64,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,64,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,802,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,69,ENDFB,7.0
JEFF,3.2,30,Zn,64,g,3,58,JEFF,3.2
JEFF,3.2,29,Cu,64,g,12,61,TENDL,2009
JEFF,3.2,26,Fe,56,g,3,803,JEFF,3.1
JEFF,3.2,25,Mn,55,g,3,803,JEFF,3.2
JEFF,3.2,30,Zn,67,g,3,29,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,71,ENDFB,7.0
JEFF,3.2,30,Zn,66,g,3,65,JEFF,3.2
JEFF,3.2,29,Cu,66,g,4,65,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,804,JEFF,3.1
JEFF,3.2,25,Mn,55,g,3,804,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,59,JEFF,3.2
JEFF,3.2,29,Cu,66,g,4,66,JEFF,3.2
JEFF,3.2,30,Zn,67,g,3,28,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,72,ENDFB,7.0
JEFF,3.2,30,Zn,66,g,3,66,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,805,JEFF,3.1
JEFF,3.2,29,Cu,64,g,12,62,TENDL,2011
JEFF,3.2,30,Zn,64,g,3,61,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,805,JEFF,3.2
JEFF,3.2,29,Cu,66,g,4,67,JEFF,3.2
JEFF,3.2,29,Cu,64,g,12,63,TENDL,2009
JEFF,3.2,17,Cl,35,g,6,73,ENDFB,7.0
JEFF,3.2,30,Zn,66,g,3,67,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,806,JEFF,3.1
JEFF,3.2,30,Zn,64,g,3,62,JEFF,3.2
JEFF,3.2,30,Zn,67,g,3,32,JEFF,3.2
JEFF,3.2,30,Zn,67,g,3,34,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,68,JEFF,3.2
JEFF,3.2,30,Zn,67,g,3,33,JEFF,3.2
JEFF,3.2,29,Cu,66,g,4,68,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,806,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,74,ENDFB,7.0
JEFF,3.2,26,Fe,56,g,3,807,JEFF,3.1
JEFF,3.2,30,Zn,66,g,3,69,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,63,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,807,JEFF,3.2
JEFF,3.2,29,Cu,66,g,4,69,JEFF,3.2
JEFF,3.2,30,Zn,67,g,3,37,JEFF,3.2
JEFF,3.2,29,Cu,64,g,12,65,TENDL,2009
JEFF,3.2,17,Cl,35,g,6,75,ENDFB,7.0
JEFF,3.2,30,Zn,68,g,1,451,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,71,JEFF,3.2
JEFF,3.2,29,Cu,66,g,4,71,JEFF,3.2
JEFF,3.2,26,Fe,56,g,3,808,JEFF,3.1
JEFF,3.2,30,Zn,64,g,3,64,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,808,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,72,JEFF,3.2
JEFF,3.2,30,Zn,68,g,2,151,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,76,ENDFB,7.0
JEFF,3.2,30,Zn,68,g,3,1,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,65,JEFF,3.2
JEFF,3.2,29,Cu,64,g,12,66,TENDL,2009
JEFF,3.2,29,Cu,66,g,4,72,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,77,ENDFB,7.0
JEFF,3.2,26,Fe,56,g,3,809,JEFF,3.1
JEFF,3.2,30,Zn,67,g,3,42,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,809,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,73,JEFF,3.2
JEFF,3.2,30,Zn,68,g,3,2,JEFF,3.2
JEFF,3.2,29,Cu,66,g,4,73,JEFF,3.2
JEFF,3.2,29,Cu,64,g,12,67,TENDL,2009
JEFF,3.2,30,Zn,67,g,3,41,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,66,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,811,JEFF,3.2
JEFF,3.2,30,Zn,67,g,3,44,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,78,ENDFB,7.0
JEFF,3.2,26,Fe,56,g,3,849,JEFF,3.1.1
JEFF,3.2,30,Zn,68,g,3,3,JEFF,3.2
JEFF,3.2,29,Cu,64,g,12,68,TENDL,2009
JEFF,3.2,30,Zn,66,g,3,74,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,79,ENDFB,7.0
JEFF,3.2,29,Cu,66,g,4,74,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,812,JEFF,3.2
JEFF,3.2,30,Zn,67,g,3,45,JEFF,3.2
JEFF,3.2,29,Cu,64,g,12,69,TENDL,2009
JEFF,3.2,30,Zn,64,g,3,67,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,75,JEFF,3.2
JEFF,3.2,30,Zn,68,g,3,4,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,813,JEFF,3.2
JEFF,3.2,29,Cu,66,g,4,75,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,68,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,91,ENDFB,7.0
JEFF,3.2,30,Zn,68,g,3,11,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,76,JEFF,3.2
JEFF,3.2,30,Zn,68,g,3,5,JEFF,3.2
JEFF,3.2,26,Fe,56,g,4,51,JEFF,3.1
JEFF,3.2,29,Cu,66,g,4,76,JEFF,3.2
JEFF,3.2,29,Cu,64,g,12,71,TENDL,2011
JEFF,3.2,25,Mn,55,g,3,814,JEFF,3.2
JEFF,3.2,30,Zn,67,g,3,51,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,71,JEFF,3.2
JEFF,3.2,26,Fe,56,g,4,2,JEFF,3.1
JEFF,3.2,30,Zn,64,g,3,69,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,111,ENDFB,7.0
JEFF,3.2,29,Cu,64,g,12,72,TENDL,2011
JEFF,3.2,29,Cu,66,g,4,77,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,77,JEFF,3.2
JEFF,3.2,25,Mn,55,g,3,815,JEFF,3.2
JEFF,3.2,30,Zn,67,g,3,52,JEFF,3.2
JEFF,3.2,30,Zn,66,g,3,78,JEFF,3.2
JEFF,3.2,30,Zn,64,g,3,72,JEFF,3.2
JEFF,3.2,29,Cu,66,g,4,78,JEFF,3.2
JEFF,3.2,17,Cl,35,g,6,112,ENDFB,7.0
JEFF,3.2,29,Cu,64,g,12,73,TENDL,2011
JEFF,3.2,25,Mn,55,g,3,816,JEFF,3.2
JEFF,3.2,26,Fe,56,g,4,53,JEFF,3.1
JEFF,3.2,30,Zn,67,g,3,53,JEFF,3.2
JEFF,3.2,30,Zn,68,g,3,16,JEFF,3.2
