LIB,VER,Z,SYM,A,M,MF,MT,LIBORIG,VERORIG
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,183,g,6,16,JEFF,3.2
JEFF,3.2,72,Hf,181,g,4,68,JEFF,3.2
JEFF,3.2,74,W,183,g,6,24,JEFF,3.2
JEFF,3.2,74,W,182,g,12,41,JEFF,3.2
JEFF,3.2,74,W,183,g,6,17,JEFF,3.2
JEFF,3.2,74,W,186,g,3,67,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,184,g,12,16,JEFF,3.2
JEFF,3.2,74,W,184,g,6,107,JEFF,3.2
JEFF,3.2,72,Hf,181,g,4,71,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,52,TENDL,2013
JEFF,3.2,73,Ta,180,m,6,51,JEFF,3.2
JEFF,3.2,74,W,183,g,6,22,JEFF,3.2
JEFF,3.2,72,Hf,181,g,4,69,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,186,g,3,68,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,53,JEFF,3.2
JEFF,3.2,72,Hf,181,g,4,72,JEFF,3.2
JEFF,3.2,74,W,184,g,12,17,JEFF,3.2
JEFF,3.2,74,W,183,g,6,41,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,184,g,12,22,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,72,Hf,181,g,4,73,JEFF,3.2
JEFF,3.2,74,W,183,g,6,103,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,54,JEFF,3.2
JEFF,3.2,74,W,184,g,12,24,JEFF,3.2
JEFF,3.2,74,W,182,g,12,51,JEFF,3.2
JEFF,3.2,74,W,183,g,6,28,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,55,JEFF,3.2
JEFF,3.2,72,Hf,181,g,4,74,JEFF,3.2
JEFF,3.2,74,W,183,g,6,104,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,184,g,12,28,JEFF,3.2
JEFF,3.2,74,W,186,g,3,91,JEFF,3.2
JEFF,3.2,75,Re,188,g,1,451,JEFF,3.2
JEFF,3.2,74,W,182,g,12,52,JEFF,3.2
JEFF,3.2,72,Hf,181,g,4,75,JEFF,3.2
JEFF,3.2,74,W,183,g,6,105,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,56,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,182,g,12,53,JEFF,3.2
JEFF,3.2,75,Re,188,g,2,151,JEFF,3.2
JEFF,3.2,74,W,183,g,6,91,JEFF,3.2
JEFF,3.2,74,W,186,g,3,102,JEFF,3.2
JEFF,3.2,74,W,186,g,3,106,JEFF,3.2
JEFF,3.2,74,W,184,g,12,41,JEFF,3.2
JEFF,3.2,74,W,186,g,3,103,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,1,JEFF,3.2
