Z,A,M,HL,DHL,ELP,DELP,EEM,DEEM,EHP,DEHP
73,161,m,2.89,0.12,2419020.0,0.0,2419020.0,0.0,267855.0,0.0
73,162,g,3.57,0.12,3128680.0,0.0,3128680.0,0.0,3706.73,0.0
73,163,g,10.6,1.8,2244170.0,0.0,2244170.0,0.0,9390.2,0.0
73,164,g,14.2,0.3,2739050.0,73247.2,1616600.0,0.0,0.0,0.0
73,165,g,31.0,1.5,1927000.0,0.0,1927000.0,0.0,0.0,0.0
73,166,g,34.4,0.5,2587000.0,0.0,2587000.0,0.0,0.0,0.0
73,167,g,79.8,4.2,1705670.0,0.0,1705670.0,0.0,0.0,0.0
73,168,g,120.0,6.0,2322330.0,0.0,2322330.0,0.0,0.0,0.0
73,169,g,294.0,24.0,1475670.0,0.0,1475670.0,0.0,0.0,0.0
73,170,g,405.6,3.6,1597920.0,98214.3,1056070.0,0.0,0.0,0.0
73,171,g,1398.0,18.0,1233350.0,0.0,1233350.0,0.0,0.0,0.0
73,172,g,2208.0,18.0,424290.0,21840.6,1731630.0,0.0,0.0,0.0
73,173,g,11304.0,468.0,124677.0,4774.47,409337.0,0.0,0.0,0.0
73,174,g,4104.0,288.0,361529.0,44307.4,837327.0,0.0,0.0,0.0
73,175,g,37800.0,720.0,691600.0,0.0,691600.0,0.0,0.0,0.0
73,176,g,29124.0,180.0,74040.5,3477.17,2101790.0,0.0,0.0,0.0
73,176,m,0.0011,0.0001,0.0,0.0,103000.0,0.0,0.0,0.0
73,176,n,0.00097,7e-05,0.0,0.0,2717000.0,0.0,0.0,0.0
73,177,g,203040.0,1800.0,22724.4,1631.34,67752.3,0.0,0.0,0.0
73,178,g,558.6,1.8,33346.1,4656.37,120262.0,0.0,0.0,0.0
73,178,m,8496.0,288.0,263292.0,0.0,263292.0,0.0,0.0,0.0
73,178,n,0.059,0.003,0.0,0.0,1470600.0,0.0,0.0,0.0
73,179,g,50803200.0,864000.0,7395.24,739.524,29246.1,0.0,0.0,0.0
73,179,m,0.009,0.0002,0.0,0.0,1317300.0,0.0,0.0,0.0
73,179,n,0.0541,0.0017,0.0,0.0,1322000.0,0.0,0.0,0.0
73,180,g,29088.0,180.0,64057.9,2915.95,45929.8,0.0,0.0,0.0
73,180,m,5.68037e+22,1.89346e+22,125853.0,11182.8,562516.0,0.0,0.0,0.0
73,181,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,182,g,9910080.0,34560.0,216340.0,9808.63,1283320.0,0.0,0.0,0.0
73,182,m,0.283,0.003,14318.7,1019.01,1917.41,0.0,0.0,0.0
73,182,n,950.4,6.0,244380.0,23110.0,254636.0,0.0,0.0,0.0
73,183,g,439776.0,6048.0,349358.0,15089.1,286635.0,0.0,0.0,0.0
73,184,g,31320.0,360.0,955433.0,0.0,955433.0,0.0,0.0,0.0
73,185,g,2964.0,90.0,734066.0,102141.0,137391.0,0.0,0.0,0.0
73,185,m,0.001,0.0,0.0,0.0,1308000.0,0.0,0.0,0.0
73,186,g,630.0,18.0,1299830.0,0.0,1299830.0,0.0,0.0,0.0
73,187,g,120.0,0.0,1044930.0,0.0,1044930.0,0.0,0.0,0.0
73,188,g,20.0,0.0,1619000.0,0.0,1619000.0,0.0,0.0,0.0
73,189,g,3.0,0.0,1216670.0,0.0,1216670.0,0.0,0.0,0.0
73,190,g,0.3,0.0,1880000.0,0.0,1880000.0,0.0,0.0,0.0
74,158,g,0.00137,0.00017,0.0,0.0,0.0,0.0,6605100.0,0.0
74,159,g,0.0082,0.0007,551160.0,0.0,551160.0,0.0,5284980.0,0.0
74,160,g,0.09,0.005,282533.0,0.0,282533.0,0.0,5276640.0,0.0
74,161,g,0.409,0.016,746550.0,0.0,746550.0,0.0,4318020.0,0.0
74,162,g,1.36,0.07,1055450.0,0.0,1055450.0,0.0,2566050.0,0.0
74,163,g,2.8,0.2,2212700.0,0.0,2212700.0,0.0,717484.0,0.0
74,164,g,6.3,0.2,1619050.0,0.0,1619050.0,0.0,200568.0,0.0
74,165,g,5.1,0.5,2326340.0,0.0,2326340.0,0.0,10064.2,0.0
74,166,g,19.2,0.6,1401510.0,0.0,1401510.0,0.0,1699.64,0.0
74,167,g,19.9,0.5,2086500.0,0.0,2086500.0,0.0,1908.84,0.0
74,168,g,51.0,2.0,1167960.0,0.0,1167960.0,0.0,144.227,0.0
74,169,g,76.0,6.0,1790670.0,0.0,1790670.0,0.0,0.0,0.0
74,170,g,145.2,2.4,938849.0,0.0,938849.0,0.0,41411.0,0.0
74,171,g,142.8,2.4,1544670.0,0.0,1544670.0,0.0,0.0,0.0
74,172,g,396.0,54.0,744333.0,0.0,744333.0,0.0,0.0,0.0
74,173,g,456.0,12.0,1223330.0,0.0,1223330.0,0.0,0.0,0.0
74,174,g,1992.0,126.0,504667.0,0.0,504667.0,0.0,0.0,0.0
74,175,g,2112.0,36.0,925334.0,0.0,925334.0,0.0,0.0,0.0
74,176,g,9000.0,360.0,57296.9,4387.08,171533.0,0.0,0.0,0.0
74,177,g,7920.0,120.0,81867.8,2269.36,815303.0,0.0,0.0,0.0
74,178,g,1866240.0,25920.0,6994.93,699.493,19163.7,0.0,0.0,0.0
74,179,g,2223.0,9.6,13167.0,1151.04,54038.8,0.0,0.0,0.0
74,179,m,384.0,4.2,1198.61,0.0,222503.0,0.0,0.0,0.0
74,180,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,180,m,0.00547,9e-05,0.0,0.0,1529010.0,0.0,0.0,0.0
74,181,g,10452700.0,10368.0,12681.5,1004.44,41205.8,0.0,0.0,0.0
74,182,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,183,g,3.47134e+24,0.0,0.0,0.0,0.0,0.0,1186870.0,0.0
74,183,m,5.25,0.07,183985.0,16340.3,125388.0,0.0,0.0,0.0
74,184,g,1.2623e+25,0.0,0.0,0.0,0.0,0.0,1656200.0,0.0
74,185,g,6488640.0,25920.0,126803.0,264.395,50.1596,0.0,0.0,0.0
74,185,m,100.0,2.0,171990.0,16060.5,25738.9,0.0,0.0,0.0
74,186,g,1.8619e+25,0.0,244999.0,0.0,0.0,0.0,562300.0,0.0
74,186,m,0.003,0.0,0.0,0.0,3542800.0,0.0,0.0,0.0
74,187,g,85860.0,288.0,301257.0,11370.0,442102.0,0.0,0.0,0.0
74,188,g,6028990.0,4320.0,99590.0,857.249,1913.31,0.0,0.0,0.0
74,189,g,642.0,30.0,832666.0,0.0,832666.0,0.0,0.0,0.0
74,190,g,1800.0,90.0,466929.0,30987.1,149823.0,0.0,0.0,0.0
74,190,m,0.0031,0.0,0.0,0.0,2381000.0,0.0,0.0,0.0
74,191,g,20.0,0.0,1079670.0,0.0,1079670.0,0.0,0.0,0.0
74,192,g,10.0,0.0,686666.0,0.0,686666.0,0.0,0.0,0.0
75,160,g,0.00086,0.00012,0.0,0.0,0.0,0.0,1770070.0,0.0
75,161,g,0.00037,4e-05,0.0,0.0,0.0,37.8488,7519.3,37.8488
75,161,m,0.0156,0.0009,0.0,0.0,0.0,0.0,6181520.0,0.0
75,162,g,0.107,0.013,233040.0,0.0,233040.0,0.0,5870400.0,0.0
75,162,m,0.077,0.009,354750.0,0.0,354750.0,0.0,5713070.0,0.0
75,163,g,0.39,0.07,2018010.0,0.0,2018010.0,0.0,1925150.0,0.0
75,163,m,0.214,0.005,1022040.0,0.0,1022040.0,0.0,4004290.0,0.0
75,164,g,1e-09,1e-09,0.0,0.0,0.0,0.0,5505100.0,0.0
75,164,m,0.53,0.23,1513960.0,0.0,1513960.0,0.0,3500360.0,0.0
75,165,g,1.0,0.0,1367500.0,0.0,1367500.0,0.0,2824050.0,0.0
75,165,m,2.1,0.3,2393080.0,0.0,2393080.0,0.0,733863.0,0.0
75,166,g,2.0,0.0,1673670.0,0.0,1673670.0,0.0,2752550.0,0.0
75,166,m,2.5,0.2,3259130.0,0.0,3259130.0,0.0,287755.0,0.0
75,167,g,3.4,0.4,0.0,0.0,0.0,0.0,5275100.0,0.0
75,167,m,5.9,0.3,2435070.0,0.0,2435070.0,0.0,54051.0,0.0
75,168,g,4.4,0.1,3033180.0,0.0,3033180.0,0.0,253.405,0.0
75,169,g,8.1,0.5,2177220.0,0.0,2177220.0,0.0,252.205,0.0
75,169,m,15.1,1.6,2226210.0,0.0,2226210.0,0.0,10408.2,0.0
75,170,g,9.2,0.2,2791390.0,0.0,2791390.0,0.0,475.51,0.0
75,171,g,15.2,0.4,1945330.0,0.0,1945330.0,0.0,0.0,0.0
75,172,g,15.0,3.0,2525670.0,0.0,2525670.0,0.0,0.0,0.0
75,172,m,55.0,5.0,2525670.0,0.0,2525670.0,0.0,0.0,0.0
75,173,g,120.0,18.0,1724330.0,0.0,1724330.0,0.0,0.0,0.0
75,174,g,144.0,2.4,2184670.0,0.0,2184670.0,0.0,0.0,0.0
75,175,g,353.4,3.0,1448330.0,0.0,1448330.0,0.0,0.0,0.0
75,176,g,318.0,18.0,1088300.0,62913.6,1050950.0,0.0,0.0,0.0
75,177,g,840.0,60.0,1144330.0,0.0,1144330.0,0.0,0.0,0.0
75,178,g,792.0,12.0,1587670.0,0.0,1587670.0,0.0,0.0,0.0
75,179,g,1170.0,6.0,888246.0,0.0,888246.0,0.0,0.0,0.0
75,180,g,146.4,3.6,133497.0,7551.31,1147340.0,0.0,0.0,0.0
75,181,g,71640.0,2520.0,127115.0,8928.08,787489.0,0.0,0.0,0.0
75,182,g,230400.0,1800.0,182915.0,3291.02,1799710.0,0.0,0.0,0.0
75,182,m,45720.0,720.0,80466.7,4965.87,1201630.0,0.0,0.0,0.0
75,183,g,6048000.0,172800.0,108911.0,9165.32,161365.0,0.0,0.0,0.0
